Target;Galaxy;HV;Diam;rho;EWLya;LyaVel;Lya;EWOVIa;OVIaVel;OVIa
PG1149-110     ;NGC3892                   ;1697;24.3; 529.0; 437;1665;Lya  ;    ;    ;
ESO438-G09     ;NGC3621                   ; 727;23.8; 530.0;    ;    ;UL   ;    ;    ;
3C351.0        ;UGC10770                  ;1108; 5.9; 531.0;    ;    ;UL   ;    ;    ;Lylim
Mrk421         ;NGC3432                   ; 616;21.3; 538.0;    ;    ;     ;    ;    ;UL
3C249.1        ;UGC5841                   ;1766;12.2; 538.0;    ;    ;UL   ;    ;    ;H2
Mrk290         ;SDSSJ153733.02+583447.7   ;2932; 9.6; 540.0;    ;    ;     ;    ;    ;UL
PG1149-110     ;MCG-2-30-39               ;1483;13.6; 541.0;    ;    ;UL   ;    ;    ;
HE0226-4110    ;NGC986A                   ;1406; 8.6; 542.0;    ;    ;UL   ;    ;    ;CII-HVC
3C249.1        ;NGC3329\LI                ;1812;14.3; 543.0;  40;1861;Lya  ;    ;    ;H2
PG1116+215     ;UGC6258                   ;1454;14.4; 543.0;  91;1479;Lya  ;    ;    ;CII*
HE0340-2703    ;ESO482-G46                ;1525;18.7; 543.0;    ;    ;UL   ;    ;    ;
Mrk817         ;NGC5667                   ;2001;15.2; 549.0;    ;    ;UL   ;    ;    ;OI
PKS0558-504    ;ESO205-G34                ;1026; 5.2; 552.0;    ;    ;     ;    ;    ;UL
Mrk478         ;UGC9519                   ;1692; 5.3; 554.0;    ;    ;UL   ;    ;    ;UL
Mrk817         ;NGC5678                   ;1922;29.7; 556.0;    ;    ;Lya  ;    ;    ;UL
TonS180        ;2MASXJ005700.66-232044.2  ;2657; 4.9; 560.0;  38;2792;Lya  ;    ;    ;UL
HE0226-4110    ;NGC954                    ;5353;33.0; 562.0;  60;5235;Lya  ;  41;5240;OVIa
Mrk290         ;SBS1533+574               ;3310; 7.1; 563.0;    ;    ;     ;    ;    ;flaw
Mrk1095        ;UGC3303                   ; 522; 6.8; 571.0;    ;    ;     ;    ;    ;UL
Mrk876         ;UGC10194                  ; 870; 6.9; 573.0;    ;    ;Lya  ;    ;    ;UL
ESO438-G09     ;2MASXJ111343.40-274328.8  ;2100; 4.8; 577.0; 265;2215;Lya  ;    ;    ;
Mrk106         ;NGC2681                   ; 692; 6.2; 581.0;    ;    ;     ;    ;    ;UL
PG1259+593     ;UGC8046                   ;2572;11.8; 584.0;    ;    ;UL   ;    ;    ;OI*
IRAS09149-6206 ;RKK1037                   ;2242;    ; 585.0;    ;    ;     ;    ;    ;OI
Mrk876         ;IC1214                    ;7013;26.4; 587.0;  42;7001;Lya  ;    ;    ;Lyg
3C351.0        ;SDSSJ170349.45+601806.1   ;5183; 6.6; 594.0; 182;5175;Lya  ;    ;    ;Lylim
PG1259+593     ;UGC8040                   ;2522;16.8; 595.0; 291;2275;Lya  ;    ;    ;OVI
HE1143-1810    ;NGC3887                   ;1209;20.2; 596.0;    ;    ;     ;    ;    ;UL
PG1216+069     ;NGC4296                   ;4227;25.4; 596.0;    ;    ;UL   ;    ;    ;UL
PKS2005-489    ;ESO233-G37                ;4950;26.4; 599.0; 307;4973;Lya  ;    ;    ;UL
RXJ0048.3+3941 ;UGC655                    ; 829; 6.9; 602.0;    ;    ;     ;    ;    ;UL
PG1341+258     ;IC4322                    ;8183;35.2; 603.0; 356;7980;Lya  ;    ;    ;
Mrk509         ;NGC6985A                  ;5777;30.7; 607.0;    ;    ;NV   ;    ;    ;UL
PG1216+069     ;                          ;1655;    ; 607.0;    ;    ;Lya  ;    ;    ;OVI
IRASF22456-5125;ESO238-G05                ; 706; 5.9; 616.0;    ;    ;     ;    ;    ;UL
MCG+10-16-111  ;                          ;1230;    ; 616.0;    ;    ;UL   ;    ;    ;
Mrk734         ;IC2763                    ;1574;10.4; 617.0;    ;    ;     ;    ;    ;OVI
VIIZw118       ;UGC3648                   ;4530;25.9; 620.0;  64;4613;Lya  ;    ;    ;UL
MCG+10-16-111  ;UGC6249                   ;1058; 8.1; 620.0;    ;    ;UL   ;    ;    ;
3C351.0        ;Ark514                    ;3736;10.1; 624.0;    ;    ;UL   ;    ;    ;Lylim
