target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z_target,RAdeg_target,DEdeg_target,type,glon,glat,z,program PI,program #,obsid,"SN(N=1238,C=1548,O=1031)",calver,nightonly,IGMPARS,FPN
CSO1214,,,,,,,,,,,,,,,,,QSO,159.12,68.84,0.30529,Wakker,14772,"LD5Z05,55",SN=N:10.0,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
CSO1207,,,,,,,,,,,,,,,,,Sey,163.08,69.42,0.23850,Wakker,14772,LD5Z24,SN=N:10.0,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
CSO1161,,,,,,,,,,,,,,,,,Sey,167.20,65.85,0.22706,Wakker,14772,LD5Z03,SN=N:10.0,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
4C57.27,,,,,,,,,,,,,,,,,QSO,88.68,44.73,2.85000,Syphers,12816,LC2Y01,SN=N:10.1,v3.0,nightonly=TODO,IGMPARS=no,FPN=no
3C218,,,,,,,,,,,,,,,,,Sey,242.93,25.09,0.05400,Stocke,13489,XXX,SN=5,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SBS0934+546,,,,,,,,,,,,,,,,,Sey:BCG,161.30,45.65,0.10212,Heckman,11727,LB5B02,"SN=N:9.7,C:7.1",v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
RX_J1717.5+6559,,,,,,,,,,,,,,,,,QSO,96.14,34.10,0.29268,Wakker,12276,LBI619,SN=N:9.6,v3.0,nightonly=TODO,IGMPARS=prt,FPN=no
RX_J1553.0+3548,,,,,,,,,,,,,,,,,QSO,57.26,50.67,0.72299,Tumlinson,11598,LB5NA3,"SN=N:11.1,C:8.2",v3.1.1,nightonly=TODO,IGMPARS=prt,FPN=no
HS0058+4213,,,,,,,,,,,,,,,,,QSO,124.91,-20.34,0.19000,Rich,11632,LB2F02,"SN=N:9.5,C:8.2",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
RX_J1550.8+4001,,,,,,,,,,,,,,,,,QSO,63.96,50.94,0.49723,Tumlinson,11598,LB5N35,"SN=N:9.6,C:13.4",v3.1.1,nightonly=TODO,IGMPARS=prt,FPN=no
MRK1383,,,,,,,,,,,,,,,,,QSO,349.22,55.12,0.08647,Stocke,"7345,9778","O4EC01,O8PG00-02","SN=N:30.19.3,C:7.9,O:23.9",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
SDSSJ151507.40+065708.0,,,,,,,,,,,,,,,,,Sey,8.97,50.41,0.26800,Heckman,12603,LBS316,SN=N:9.2,v3.0,nightonly=done,IGMPARS=yes,FPN=yes
SDSSJ091052.80+333008.0,,,,,,,,,,,,,,,,,Sey,191.11,42.52,0.11631,Wakker,14240,LCWM04,SN=N:9.2,v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ131802.10+262830.0,,,,,,,,,,,,,,,,,QSO,28.16,84.03,1.23644,Heckman,12603,LBS339,SN=N:9.1,v3.0,nightonly=done,IGMPARS=yes,FPN=none_ID
UVQSJ125706.42-443520.0,,,,,,,,,,,,,,,,,QSO,303.99,18.27,0.09630,Lehner,15313,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
UVQSJ032154.32-175851.5,,,,,,,,,,,,,,,,,QSO,206.17,-54.22,0.85280,Shanks,14275,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
US3472,,,,,,,,,,,,,,,,,QSO,176.18,-48.53,0.53390,Tumlinson,12248,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ133045.10+281321.0,,,,,,,,,,,,,,,,,QSO,42.37,81.23,0.41700,Tumlinson,11598,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ105910.90+051935.0,,,,,,,,,,,,,,,,,QSO,247.10,55.52,0.75400,Heckman,12603,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ103304.90+211216.0,,,,,,,,,,,,,,,,,Sey,215.97,57.99,0.31500,Heckman,12603,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ093116.70+262847.0,,,,,,,,,,,,,,,,,QSO,201.82,45.64,0.77800,Heckman,12603,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ091431.80+083742.0,,,,,,,,,,,,,,,,,QSO,222.14,35.65,0.64800,Heckman,12603,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ085259.20+031320.0,,,,,,,,,,,,,,,,,QSO,224.75,28.37,0.29700,"Ellison,Heckman","12603,13774",XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ040148.98-054056.5,,,,,,,,,,,,,,,,,QSO,196.42,-39.97,0.57020,Tumlinson,11598,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
FBS0150+396,,,,,,,,,,,,,,,,,QSO,135.58,-21.42,0.21190,Lehner,14268,LCXV11,"SN=N:9.0,C:15.4",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
