AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1046,VCC1637,72,"('187.804583333', '12.0519444444')","(188.93967, 12.18139)",1.0905246788247335e-59,0.0,26.06981975654495,2.414953415699773,302.0646932965013,x,1099.8,800.0,-246.0,15.48974332,x,1.8,1.7,21.6,89.0,5.7,0,x,x,x,"dE0,N","dE0,N",0.00267
MS1228.6+1219,1046,VCC1642,72,"('187.804583333', '12.0519444444')","(188.97138, 11.68192)",1.2867562978093056e-74,0.0,37.08631354819165,5.196152422706632,480.86917351695945,x,1629.7,1330.0,284.0,22.9537983,x,3.0,2.7,24.5,66.0,42.0,0,x,x,x,"dE2,N","dE2,N",0.004438
MS1228.6+1219,1046,VCC1064,72,"('187.804583333', '12.0519444444')","(187.02054, 13.61203)",5.5128976510025645e-83,0.0,36.228855835915674,4.938522046118656,497.5218526692774,x,1165.0,865.0,-181.0,16.40811993,x,2.9,1.6,55.2,12.0,38.2,0,x,x,x,"dE3,N","dE3,N",0.002886
MS1228.6+1219,1046,VCC0833,72,"('187.804583333', '12.0519444444')","(186.436, 13.0221)",6.689147536156048e-85,0.0,29.941368737561735,3.263127334322092,413.97377160646914,x,1020.0,720.0,-326.0,14.3661184,x,2.2,2.1,18.2,82.0,43.9,0,x,x,x,"dE0,N","dE0,N",0.0024
MS1228.6+1219,1046,SDSSJ122531.47+110930.1,72,"('187.804583333', '12.0519444444')","(186.38117, 11.15836)",7.595583368970841e-92,0.0,33.599406811092535,4.192374029115246,486.01128097396696,x,1193.8,894.0,-152.0,16.81477459,x,2.6,1.8,47.9,39.0,18.3,0,x,x,x,x,x,0.002982
MS1228.6+1219,1046,VCC1603,72,"('187.804583333', '12.0519444444')","(188.78238, 13.56441)",5.567061725169853e-102,0.0,29.941368737561735,3.263127334322092,454.8021837399939,x,1034.8,735.0,-311.0,14.57477201,x,2.2,1.3,55.2,129.0,83.3,0,x,x,x,"dE4,N","dE4,N",0.002452
MS1228.6+1219,1046,VCC0967,72,"('187.804583333', '12.0519444444')","(186.76594, 12.86505)",1.3193136837541471e-173,0.0,22.988094234022373,1.8371173070873836,458.5373358282986,x,1435.0,1135.0,89.0,20.21126442,x,1.5,1.1,43.0,x,x,0,x,x,x,dE4,dE4,0.003786
MS1228.6+1219,1046,AGC223724,72,"('187.804583333', '12.0519444444')","(187.39017, 13.196)",1.6331060460614514e-258,0.0,18.559272685333866,1.153689732987167,451.8954028063756,x,1515.0,1215.0,169.0,21.33775885,x,1.1,0.7,49.7,x,x,0,x,x,x,x,x,0.004053
MS1228.6+1219,1046,UMaDwarf,72,"('187.804583333', '12.0519444444')","(158.72, 51.92)",-99,-99,-99,-99,81.53539010453026,x,1313.0,1101.0,55.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
MS1228.6+1219,1046,AGC226118,72,"('187.804583333', '12.0519444444')","(188.68875, 12.78028)",-99,-99,-99,-99,301.2469813790517,x,1084.8,785.0,-261.0,15.27945438,x,x,x,x,x,x,0,x,x,x,x,x,0.002618
