status,FinalName,NewTARGETLISTname,PreviousTARGETLISTname,NEDname,Obslog name,Alternative names
new,SDSSJ154459.66+115017.5,J154459.66+11501,J154459.66+11501,SDSSJ154459.66+115017.5,J154459.66+11501,[]
new,SDSSJ161245.52+081701.0,J161245.59+08170,J161245.59+08170,SDSSJ161245.52+081701.0,J161245.59+08170,[]
OK,KAZ147,KAZ147,KAZ147,KAZ147,KAZ147,[]
OK,KAZ447,KAZ447,KAZ447,KAZ447,SDSSJ170328.90+6,['SDSSJ170328.95+614109.8']
OK,KAZ49,KAZ49,KAZ49,KAZ49,KAZ49,"['CGCG1556.4+6359', 'IRAS15564+6359', 'IRAS_F15564+6359']"
new,KISSR1567,KISSR1567,KISSR1567,KISSR1567,KISSR1567,[]
OK,KISSR1942,KISSR1942,KISSR1942,KISSR1942,KISSR1942,[]
OK,KISSR2019,KISSR2019,KISSR2019,KISSR2019,KISSR2019,[]
OK,KISSR2021,KISSR2021,KISSR2021,KISSR2021,KISSR2021,[]
OK,KISSR2023,KISSR2023,KISSR2023,KISSR2023,KISSR2023,[]
OK,KISSR271,KISSR271,KISSR271,KISSR271,KISSR271,[]
OK,KISSR40,KISSR40,KISSR40,KISSR40,KISSR40,[]
OK,KUG0820+282,KUG0820+282,KUG0820+282,KUG0820+282,J082354.95+28062,"['IRAS08208+2816', 'IRAS_F08208+2816', 'SDSSJ082354.96+280621.6']"
OK,KUG1306+296,KUG1306+296,MCG+05-31-143,MCG+05-31-143,KISSR218,"['CG980', 'CGCG1306.9+2938', 'CGCG160-151', 'CS3331', 'IRAS13068+2937', 'IRAS_F13068+2938', 'KISSR218', 'MCG+05-31-143', 'SDSSJ130916.09+292203.6']"
OK,KUG1647+298,KUG1647+298,KUG1647+298,KUG1647+298,KISSR1084,"['CGCG1647.1+2951', 'CGCG169-004', 'IRAS16471+2950', 'IRAS_F16471+2950', 'KISSR1084', 'SDSSJ164905.26+294531.5']"
new,KUV12390+2909,KUV12390+2909,KUV12390+2909,KUV12390+2909,SDSS-J124129.64+,[]
new-star,LB3193,LB3193,LB3193,LB3193,LB3193,[]
OK,LBQS0052-0038,LBQS0052-0038,LBQS0052-0038,LBQS0052-0038,SDSSJ005527.46-0,['SDSSJ005527.45-002148.7']
OK,LBQS0107-0233,LBQS0107-0233,LBQS0107-0233,LBQS0107-0233,"HB89-0107-025-NE,Q0107-025B",['PB6291']
OK,LBQS0107-0235,LBQS0107-0235,LBQS0107-0235,LBQS0107-0235,"LBQS-0107-0235,Q0107-025A","['FBQSJ0110-0220', 'PB8553']"
OK,LBQS0302-0019,LBQS0302-0019,SDSSJ030449.86-000813.5,LBQS0302-0019,"Q0302-0019,Q0302-003",['SDSSJ030449.84-000813.4']
OK,LBQS1019+0147,LBQS1019+0147,LBQS1019+0147,LBQS1019+0147,SDSSJ102218.99+0,['SDSSJ102218.98+013218.8']
OK,LBQS1206+1052,LBQS1206+1052,QSO1206+1052,LBQS1206+1052,SDSSJ120924.07+1,['SDSSJ120924.07+103612.0']
new,LBQS1211+0841,LBQS1211+0841,QSO1211+0841,LBQS1211+0841,SDSSJ121430.55+0,['SDSSJ121430.55+082508.1']
new,LBQS1220+1006,LBQS1220+1006,RMB219,RMB219,SDSSJ122312.16+0,['SDSSJ122312.16+095017.7']
new,LBQS1222+0901,LBQS1222+0901,QSO1222+0901,LBQS1222+0901,SDSSJ122520.13+0,['SDSSJ122520.13+084450.7']
new,LBQS1222+1235,LBQS1222+1235,QSO1222+1235,LBQS1222+1235,SDSSJ122512.93+1,['SDSSJ122512.93+121835.6']
new,LBQS1230-0015,LBQS1230-0015,SDSSJ123304.05-003134.1,LBQS.1230-0015,SDSSJ123304.05-0,['SDSSJ123304.05-003134.1']
new,LBQS1238+1006,LBQS1238+1006,SDSSJ124035.50+094941.0,LBQS1238+1006,SDSSJ124035.51+0,['SDSSJ124035.50+094940.9']
OK,LBQS1435-0134,LBQS1435-0134,LBQS1435-0134,LBQS1435-0134,"LBQS-1435-0134,Q1435-0134",['SDSSJ143748.28-014710.7']
