AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
CS1376,RCS05000800442,"('202.45708', '29.57972')","('202.62446', '30.43639')",315.145490941,1475.54,20.78219946,x,x,x,x,x,x,x,x,x,0.004,0.049,DG,[]
CS1376,RCS05000703300,"('202.45708', '29.57972')","('202.48917', '30.58205')",437.635504341,1775.48,25.00678536,x,x,0.1706,x,x,x,x,x,x,0.005,0.049,DG,[]
CS1376,RCS05000702449,"('202.45708', '29.57972')","('202.5402', '30.54102')",278.55222822,1175.48,16.556085,x,x,x,x,x,x,x,x,x,0.003,0.049,DG,[]
CS1376,RCS05000701381,"('202.45708', '29.57972')","('202.51545', '30.48835')",196.097938709,876.59,12.34633439,x,x,0.0019,x,x,x,x,x,x,0.002,0.049,DG,[]
CS1376,RCS05000002133,"('202.45708', '29.57972')","('202.36777', '30.77587')",434.708336464,1475.33,20.77936383,x,x,x,x,x,x,x,x,x,0.004,0.049,DG,[]
CS1376,SDSSJ132956.56+294619.4,"('202.45708', '29.57972')","('202.48569', '29.77207')",385.260838008,8080.67,113.8121909,10.0,8.2,0.181,34,97,x,89.6,x,E3             Sbrst,0.026028,0.049,DG,[]
NVSSJ152511-171436,UMaDwarf,"('231.3', '-17.24389')","('158.72', '51.92')",164.410535672,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0497,SP,[]
NVSSJ152511-171436,FGC1895,"('231.3', '-17.24389')","('231.43096', '-17.24122')",222.982438115,7250.77,102.1235119,43.87,14.04,x,71,85,x,3.8,x,Sc             HII,0.02359,0.0497,SP,[]
3C218,UMaDwarf,"('139.52375', '-12.09528')","('158.72', '51.92')",116.579803189,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.054,NP,[]
3C218,HIPASSJ0922-11,"('139.52375', '-12.09528')","('140.60333', '-11.84222')",467.014227291,1749.36,24.63888632,x,x,0.0092,x,x,x,x,x,x,0.00522,0.054,NP,[]
3C218,NGC2855,"('139.52375', '-12.09528')","('140.36454', '-11.9095')",387.015427945,2080.37,26.299999,23.7,18.96,1.0152,36,125,-99,47.7,RSAT0..,(R)SA(rs)0/a  LINER?,0.006328,0.054,NP,[]
